cá,"nome masculino",kˈa
cã,"nome feminino",kˈə̃
cá,advérbio,kˈa
ca,conjunção,kˈa
cã,"nome masculino",kˈə̃
ca·ba,"nome feminino",kˈa.bə
ca·ba·ça,"nome masculino","ka.bˈa.sə ou ka.bˈa.sə"
ca·ba·cei·ra,"nome feminino",ka.ba.sˈej.ɾə
ca·ba·cei·ro,"nome masculino",ka.ba.sˈej.ɾʊ
ca·ba·ci·nha,"nome feminino",ka.ba.sˈi.ɲə
ca·ba·ço,"nome masculino",ka.bˈa.sʊ
ca·bai·a,"nome feminino",ka.bˈaj.jə
ca·bal,adjetivo,ka.bˈaw
ca·ba·la,"nome feminino",ka.bˈa.lə
ca·ba·la,adjetivo,ka.bˈa.lə
ca·ba·la,"nome masculino",ka.bˈa.lə
ca·ba·lar,verbo,ka.ba.lˈa
ca·ba·lis·ta,"nome masculino",ka.ba.lˈis.tə
ca·ba·lis·ta,"nome feminino",ka.ba.lˈis.tə
ca·ba·lis·ti·ca·men·te,advérbio,ka.ba.lis.tʃi.ka.mˈẽj.tʃi
ca·ba·lís·ti·co,adjetivo,ka.ba.lˈis.tʃi.kʊ
ca·bal·men·te,advérbio,ka.baw.mˈẽj.tʃi
ca·ba·na,"nome feminino",ka.bˈə.nə
ca·ba·nei·ro,"nome masculino",ka.ba.nˈej.ɾʊ
ca·ba·no,"nome masculino",ka.bˈə.nʊ
ca·ba·no,adjetivo,ka.bˈə.nʊ
ca·ba·ré,"nome masculino",ka.ba.ɾˈɛ
ca·baz,"nome masculino",ka.bˈas
ca·ba·za·da,"nome feminino",ka.ba.zˈa.də
ca·be,"nome masculino",kˈa.bi
ca·be·ça,"nome masculino",ka.bˈe.sə
ca·be·ça,"nome feminino",ka.bˈe.sə
"ca·be·ça de car·taz","nome masculino",ka.bˌe.sə.dʒi.kaɾ.tˈas
"ca·be·ça de car·taz","nome feminino",ka.bˌe.sə.dʒi.kaɾ.tˈas
"ca·be·ça de ca·sal","nome masculino",ka.bˌe.sə.dʒi.ka.zˈaw
"ca·be·ça de ca·sal","nome feminino",ka.bˌe.sə.dʒi.ka.zˈaw
"ca·be·ça de lis·ta","nome masculino",ka.bˌe.sə.dʒi.lˈis.tə
"ca·be·ça de lis·ta","nome feminino",ka.bˌe.sə.dʒi.lˈis.tə
"ca·be·ça de sé·ri· e","nome masculino","ka.bˌe.sə.dʒi.sˈɛ.ɾi ou ka.bˌe.sə.dʒi.sˈɛ.ɾi"
ca·be·ça·da,"nome feminino",ka.be.sˈa.də
ca·be·ça·lho,"nome masculino",ka.be.sˈa.ʎʊ
ca·be·ção,"nome masculino",ka.be.sˈə̃w
ca·be·ce·a·men·to,"nome masculino",ka.be.si.a.mˈẽj.tʊ
ca·be·ce·ar,verbo,ka.be.si.ˈa
ca·be·cei·ra,"nome feminino",ka.be.sˈej.ɾə
ca·be·cei·ra,"nome masculino",ka.be.sˈej.ɾə
ca·be·cei·ren·se,adjetivo,ka.be.sej.ɾˈẽj.si
ca·be·cei·ren·se,"nome masculino",ka.be.sej.ɾˈẽj.si
ca·be·cei·ren·se,"nome feminino",ka.be.sej.ɾˈẽj.si
ca·be·ci·lha,"nome masculino","ka.be.sˈi.ʎə ou ka.be.sˈi.ʎə"
ca·be·ci·nha,"nome feminino",ka.be.sˈi.ɲə
ca·be·ço,"nome masculino",ka.bˈe.sʊ
ca·be·çor·ra,"nome feminino",ka.be.sˈo.xə
ca·be·çu·da,"nome feminino",ka.be.sˈu.də
