da·ção,"nome feminino",da.sˈə̃w
"dá·ci· a","nome feminino",dˈa.sjə
"dá·ci· o",adjetivo,dˈa.sjʊ
"dá·ci· o","nome masculino",dˈa.sjʊ
da·co,adjetivo,dˈa.kʊ
da·co,"nome masculino",dˈa.kʊ
dac·ti·lo·gra·fa·do,adjetivo,da.ki.tʃi.lo.gɾa.fˈa.dʊ
dac·ti·lo·gra·far,verbo,da.ki.tʃi.lo.gɾa.fˈa
dac·ti·lo·gra·fi·a,"nome feminino",da.ki.tʃi.lo.gɾa.fˈi.jə
dac·ti·ló·gra·fo,"nome masculino",da.ki.tʃi.lˈɔ.gɾa.fʊ
dac·ti·los·co·pi·a,"nome feminino",da.ki.tʃi.lɔs.ko.pˈi.jə
dac·ti·los·có·pi·co,adjetivo,da.ki.tʃi.lɔs.kˈɔ.pi.kʊ
da·dá,"nome masculino",da.dˈa
da·da,"nome feminino",dˈa.də
da·da·ís·mo,"nome masculino",da.da.ˈiz.mʊ
da·da·ís·ta,adjetivo,da.da.ˈis.tə
da·da·ís·ta,"nome masculino","da.da.ˈis.tə ou da.da.ˈis.tə"
dá·di·va,"nome feminino",dˈa.dʒi.və
da·do,"nome masculino",dˈa.dʊ
da·do,adjetivo,dˈa.dʊ
da·do,artigo,dˈa.dʊ
da·do,preposição,dˈa.dʊ
da·dor,adjetivo,da.dˈoɾ
da·dor,"nome masculino",da.dˈoɾ
daf·ne,"nome feminino",dˈaf.ni
"dáf·ni· a","nome feminino",dˈaf.njə
da·guer·re·ó·ti·po,"nome masculino",da.ge.xe.ˈɔ.tʃi.pʊ
da·í,,da.ˈi
"dá·i·mi· o","nome masculino",dˈaj.mjʊ
dal,"nome masculino",dˈaw
da·la,"nome feminino",dˈa.lə
da·lai-la·ma,"nome masculino",da.lˌaj.lˈə.mə
da·li,,da.lˈi
"dá·li· a","nome feminino",dˈa.ljə
dál·ma·ta,"nome masculino","dˈaw.ma.tə ou dˈaw.ma.tə"
dál·ma·ta,adjetivo,dˈaw.ma.tə
dal·má·ti·ca,"nome feminino",daw.mˈa.tʃi.kə
dal·má·ti·co,adjetivo,daw.mˈa.tʃi.kʊ
dal·tó·ni·co,adjetivo,daw.tˈɔ.ni.kʊ
dal·tó·ni·co,"nome masculino",daw.tˈɔ.ni.kʊ
dal·to·nis·mo,"nome masculino",daw.to.nˈiz.mʊ
da·ma,"nome feminino",dˈə.mə
da·mas,"nome feminino",dˈə.məs
da·mas·ce·no,adjetivo,da.ma.sˈe.nʊ
da·mas·ce·no,"nome masculino",da.ma.sˈe.nʊ
da·mas·co,"nome masculino",da.mˈas.kʊ
da·mas·quei·ro,"nome masculino",da.mas.kˈej.ɾʊ
dam·ba,"nome feminino","dˈə̃.bə ou dˈə̃.bə"
da·mo,"nome masculino",dˈə.mʊ
