e,conjunção,i
e-mail,"nome masculino",
é·ba·no,"nome masculino",ˈɛ.ba.nʊ
é·bo·la,"nome masculino",ˈɛ.bo.lə
e·bo·ni·te,"nome feminino",ɛ.bo.nˈi.tʃi
e·bo·ren·se,"nome masculino","e.bo.ɾˈẽj.si ou e.bo.ɾˈẽj.si"
e·bo·ren·se,adjetivo,e.bo.ɾˈẽj.si
"é·bri· o",adjetivo,ˈɛ.bɾjʊ
"é·bri· o","nome masculino","ˈɛ.bɾjʊ ou ˈɛ.bɾjʊ"
e·bu·li·ção,"nome feminino",e.bu.li.sˈə̃w
e·bu·li·en·te,adjetivo,e.bu.li.ˈẽj.tʃi
e·char·pe,"nome feminino",
"é· char· pe","nome feminino",e.ʃˈaɾ.pi
"é· clair","nome masculino",
e·clamp·si·a,"nome feminino",e.klə̃m.pi.sˈi.jə
"e·clé·si· a","nome feminino",e.klˈɛ.zja
e·cle·si·as·ti·ca·men·te,advérbio,e.kle.zjas.tʃi.ka.mˈẽj.tʃi
e·cle·si·ás·ti·co,"nome masculino",e.kle.zjˈas.tʃi.kʊ
e·cle·si·ás·ti·co,adjetivo,e.kle.zjˈas.tʃi.kʊ
e·clé·ti·ca,"nome feminino",e.klˈɛ.tʃi.kə
e·cle·ti·ca·men·te,advérbio,"e.klɛ.tʃi.ka.mˈẽj.tʃi ou e.klɛ.tʃi.ka.mˈẽj.tʃi"
e·clé·ti·co,adjetivo,"e.klˈɛ.tʃi.kʊ ou e.klˈɛ.tʃi.kʊ"
e·cle·tis·mo,"nome masculino","e.kle.tʃˈiz.mʊ ou e.kle.tʃˈiz.mʊ"
e·clip·sa·do,adjetivo,e.kli.pə.sˈa.dʊ
e·clip·sar,verbo,e.kli.pə.sˈa
e·clip·se,"nome masculino",e.klˈi.pi.si
e·clíp·ti·ca,"nome feminino",e.klˈi.pi.tʃi.kə
e·clíp·ti·co,adjetivo,e.klˈi.pi.tʃi.kʊ
e·clo·dir,verbo,e.klo.dʒˈi
é·clo·ga,"nome feminino",ˈɛ.klo.gə
e·clo·são,"nome feminino",e.klo.zˈə̃w
e·clu·sa,"nome feminino",e.klˈu.zə
e·co,"nome masculino",ˈɛ.kʊ
e·co·an·te,adjetivo,e.ko.ˈə̃.tʃi
e·co·ar,verbo,e.ko.ˈa
e·co·car·di·o·gra·fi·a,"nome feminino",e.ko.kaɾ.dʒi.o.gɾa.fˈi.jə
e·co·car·di·o·gra·ma,"nome masculino",e.ko.kaɾ.dʒi.o.gɾˈə.mə
e·co·cen·tro,"nome masculino",e.ko.sˈẽj.tɾʊ
e·co·de·sen·vol·vi·men·to,"nome masculino",e.ko.de.zẽ.vow.vi.mˈẽj.tʊ
"e·co·e·fi·ci·ên·ci· a","nome feminino",e.ko.e.fi.si.ˈẽj.sjə
e·co·en·ce·fa·lo·gra·ma,"nome masculino",e.ko.ẽ.se.fa.lo.gɾˈə.mə
e·co·gra·fi·a,"nome feminino",ɛ.ko.gɾa.fˈi.jə
e·co·grá·fi·co,adjetivo,e.ko.gɾˈa.fi.kʊ
e·có·gra·fo,"nome masculino",e.kˈɔ.gɾa.fʊ
e·co·gra·ma,"nome masculino",e.ko.gɾˈə.mə
e·co·lo·ca·ção,"nome feminino",e.ko.lo.ka.sˈə̃w
e·co·lo·ca·dor,adjetivo,e.ko.lo.ka.dˈoɾ
e·co·lo·ca·dor,"nome masculino",e.ko.lo.ka.dˈoɾ
e·co·lo·ca·li·za·ção,"nome feminino",e.ko.lo.ka.li.za.sˈə̃w
e·co·lo·ca·li·zar,verbo,e.ko.lo.ka.li.zˈaɾ
e·co·lo·ca·li·zá·vel,adjetivo,e.ko.lo.ka.li.zˈa.vew
e·co·lo·car,verbo,e.ko.lo.kˈaɾ
e·co·lo·gi·a,"nome feminino",e.ko.lo.ʒˈi.jə
e·co·lo·gi·ca·men·te,advérbio,"e.ko.lɔ.ʒi.ka.mˈẽj.tʃi ou e.ko.lɔ.ʒi.ka.mˈẽj.tʃi"
e·co·ló·gi·co,adjetivo,e.ko.lˈɔ.ʒi.kʊ
e·co·lo·gis·ta,"nome masculino",e.ko.lo.ʒˈis.tə
e·co·lo·gis·ta,"nome feminino",e.ko.lo.ʒˈis.tə
e·co·lo·gis·ta,adjetivo,e.ko.lo.ʒˈis.tə
e·có·lo·go,"nome masculino",e.kˈɔ.lo.gʊ
e·co·mé·tri·co,adjetivo,e.ko.mˈɛ.tɾi.kʊ
e·co·no·ma·to,"nome masculino",e.ko.no.mˈa.tʊ
e·co·no·me·tri·a,"nome feminino",e.ko.no.me.tɾˈi.jə
e·co·no·mé·tri·co,adjetivo,e.ko.no.mˈɛ.tɾi.kʊ
e·co·no·mi·a,"nome feminino",e.ko.no.mˈi.jə
e·co·no·mi·ca·men·te,advérbio,e.ko.no.mi.ka.mˈẽj.tʃi
e·co·no·mi·ci·da·de,"nome feminino",e.ko.no.mi.si.dˈa.dʒi
e·co·no·mi·cis·mo,"nome masculino",e.ko.no.mi.sˈiz.mʊ
e·co·no·mi·cis·ta,adjetivo,e.ko.no.mi.sˈis.tə
e·co·nó·mi·co,adjetivo,e.ko.nˈɔ.mi.kʊ
e·co·nó·mi·co-fi·nan·cei·ro,adjetivo,e.ko.nˌɔ.mi.kʊ.fi.nə̃.sˈej.ɾʊ
e·co·nó·mi·co-so·ci·al,adjetivo,e.ko.nˌɔ.mi.kʊ.so.sjˈaw
e·co·no·mis·mo,"nome masculino",e.ko.no.mˈiz.mʊ
e·co·no·mis·ta,"nome masculino",e.kɔ.no.mˈis.tə
e·co·no·mis·ta,"nome feminino",e.kɔ.no.mˈis.tə
e·co·no·mi·za·dor,adjetivo,e.ko.no.mi.za.dˈoɾ
e·co·no·mi·zar,verbo,e.kɔ.no.mi.zˈa
e·có·no·mo,adjetivo,e.kˈɔ.no.mʊ
e·có·no·mo,"nome masculino","e.kˈɔ.no.mʊ ou e.kˈɔ.no.mʊ"
e·co·pis·ta,"nome feminino",e.ko.pˈis.tə
e·co·pon·to,"nome masculino",ɛ.kɔ.pˈõ.tʊ
e·co·pro·du·to,"nome masculino",e.ko.pɾo.dˈu.tʊ
e·cos·fe·ra,"nome feminino",e.kos.fˈɛ.ɾə
e·cos·sis·te·ma,"nome masculino",ɛ.ko.sis.tˈe.mə
e·co·ta·xa,"nome feminino",e.ko.tˈa.ʃə
e·co·to·nal,adjetivo,e.ko.to.nˈaw
e·co·to·xi·ci·da·de,"nome feminino",e.ko.to.ki.si.si.dˈa.dʒi
e·co·tó·xi·co,adjetivo,e.ko.tˈɔ.ki.si.kʊ
e·co·to·xi·co·lo·gi·a,"nome feminino",e.ko.to.ki.si.ko.lo.ʒˈi.jə
e·co·to·xi·co·ló·gi·co,adjetivo,e.ko.to.ki.si.ko.lˈɔ.ʒi.kʊ
e·co·tu·ris·mo,"nome masculino",ɛ.ko.tu.ɾˈiz.mʊ
e·co·tu·ris·ta,adjetivo,e.ko.tu.ɾˈis.tə
e·co·tu·ris·ta,"nome masculino",e.ko.tu.ɾˈis.tə
e·co·tu·ris·ta,"nome feminino",e.ko.tu.ɾˈis.tə
e·co·tu·rís·ti·co,adjetivo,e.ko.tu.ɾˈis.tʃi.kʊ
e·crã,"nome masculino",e.kɾˈə̃
"é· cran","nome masculino",
"ec· sta· sy","nome masculino",
ec·tó·pi·co,adjetivo,e.kə.tˈɔ.pi.kʊ
ec·to·plas·ma,"nome masculino",ɛ.kə.to.plˈaz.mə
e·cu·me·ni·ca·men·te,advérbio,e.ku.mɛ.ni.ka.mˈẽj.tʃi
e·cu·mé·ni·co,adjetivo,e.ku.mˈɛ.ni.kʊ
e·cu·me·nis·mo,"nome masculino",e.ku.me.nˈiz.mʊ
ec·ze·ma,"nome masculino",e.ki.zˈe.mə
e·de·ma,"nome masculino",e.dˈe.mə
é·den,"nome masculino",ˈɛ.dẽj
e·dé·ni·co,adjetivo,e.dˈɛ.ni.kʊ
e·di·ção,"nome feminino",e.dʒi.sˈə̃w
e·dí·cu·la,"nome feminino",e.dʒˈi.ku.lə
e·di·fi·ca·ção,"nome feminino",e.dʒi.fi.ka.sˈə̃w
e·di·fi·ca·dor,adjetivo,e.dʒi.fi.ka.dˈoɾ
e·di·fi·ca·do·ra,"nome feminino",e.dʒi.fi.ka.dˈo.ɾə
e·di·fi·can·te,adjetivo,e.dʒi.fi.kˈə̃.tʃi
e·di·fi·can·te·men·te,advérbio,e.dʒi.fi.kə̃.te.mˈẽj.tʃi
e·di·fi·car,verbo,e.dʒi.fi.kˈa
e·di·fi·cá·vel,adjetivo,e.dʒi.fi.kˈa.vew
"e·di·fí·ci· o","nome masculino",e.dʒi.fˈi.sjʊ
"e·di·fí·ci· o-se·de","nome masculino",e.dʒi.fˌi.sjʊ.sˈɛ.dʒi
e·dil,"nome masculino",e.dʒˈiw
e·dí·li·co,adjetivo,e.dʒˈi.li.kʊ
e·di·li·da·de,"nome feminino",e.dʒi.li.dˈa.dʒi
e·di·pi·a·na,"nome feminino",e.dʒi.pjˈə.nə
e·di·pi·a·no,"nome masculino",e.dʒi.pjˈə.nʊ
e·di·pi·a·no,adjetivo,e.dʒi.pjˈə.nʊ
e·dí·pi·co,adjetivo,e.dʒˈi.pi.kʊ
e·di·ta·do,adjetivo,e.dʒi.tˈa.dʊ
e·di·tal,adjetivo,e.dʒi.tˈaw
e·di·tal,"nome masculino",e.dʒi.tˈaw
e·di·tar,verbo,e.dʒi.tˈa
é·di·to,"nome masculino",ˈɛ.dʒi.tʊ
e·di·to,"nome masculino","e.dʒˈi.tʊ ou e.dʒˈi.tʊ"
e·di·tor,"nome masculino",e.dʒi.tˈoɾ
e·di·tor,adjetivo,e.dʒi.tˈoɾ
e·di·tor-che·fe,"nome masculino",e.dʒi.tˌor.ʃˈɛ.fi
e·di·to·ra,"nome feminino",e.dʒi.tˈo.ɾə
e·di·to·rar,verbo,e.dʒi.to.ɾˈa
