i,advérbio,i
i·ai·á,"nome feminino",i.aj.ˈa
i·an·que,adjetivo,jˈə̃.ki
i·an·que,"nome masculino",jˈə̃.ki
i·an·que,"nome feminino",jˈə̃.ki
i·ão,"nome masculino",i.ˈə̃w
i·ao,"nome masculino",i.ˈə̃w
i·a·que,"nome masculino",jˈa.ki
i·a·ra,"nome feminino",jˈa.ɾə
i·a·te,"nome masculino",jˈa.tʃi
i·a·tis·mo,"nome masculino",ja.tʃˈiz.mʊ
i·a·tis·ta,adjetivo,ja.tʃˈis.tə
i·a·tis·ta,"nome masculino",ja.tʃˈis.tə
i·a·tis·ta,"nome feminino",ja.tʃˈis.tə
"i·bé·ri· a","nome feminino",i.bˈɛ.ɾjə
i·bé·ri·ca,"nome feminino",i.bˈɛ.ɾi.kə
i·bé·ri·co,adjetivo,i.bˈɛ.ɾi.kʊ
i·bé·ri·co,"nome masculino",i.bˈɛ.ɾi.kʊ
"i·bé·ri· o",adjetivo,i.bˈɛ.ɾjʊ
i·be·ris·mo,"nome masculino",i.be.ɾˈiz.mʊ
i·be·ris·ta,"nome masculino","i.be.ɾˈis.tə ou i.be.ɾˈis.tə"
i·be·ri·za·ção,"nome feminino",i.be.ɾi.za.sˈə̃w
i·be·ro,adjetivo,i.bˈɛ.ɾʊ
i·be·ro,"nome masculino",i.bˈɛ.ɾʊ
i·be·ro-a·me·ri·ca·na,"nome feminino",i.bˌe.ɾo.a.me.ɾi.kˈə.nə
i·be·ro-a·me·ri·ca·no,adjetivo,i.bˌe.ɾo.a.me.ɾi.kˈə.nʊ
i·be·ro-a·me·ri·ca·no,"nome masculino",i.bˌe.ɾo.a.me.ɾi.kˈə.nʊ
i·bi·dem,advérbio,i.bˈi.dɛm
í·bis,"nome feminino",ˈi.bis
i·bo·ga·í·na,"nome feminino",i.bɔ.ga.ˈi.nə
ib·se·ni·a·no,adjetivo,i.bi.se.njˈə.nʊ
i·çá,"nome masculino",i.sˈa
i·çá,"nome feminino",i.sˈa
i·çar,verbo,i.sˈa
i·çar,"nome masculino",i.sˈaɾ
"i· ce· berg","nome masculino",
i·ce·ber·gue,"nome masculino",aj.se.bˈɛɾ.gi
í·co·ne,"nome masculino",ˈi.ko.ni
i·có·ni·co,adjetivo,i.kˈɔ.ni.kʊ
i·co·no·clas·ta,adjetivo,i.ko.no.klˈas.tə
i·co·no·clas·ta,"nome masculino",i.ko.no.klˈas.tə
i·co·no·clas·ta,"nome feminino",i.ko.no.klˈas.tə
i·co·no·clas·ti·a,"nome feminino",i.ko.no.klas.tʃˈi.jə
i·co·no·clás·ti·co,adjetivo,i.ko.no.klˈas.tʃi.kʊ
i·co·no·gra·fi·a,"nome feminino",i.ko.no.gɾa.fˈi.jə
i·co·no·gra·fi·ca·men·te,advérbio,i.ko.no.gɾa.fi.ka.mˈẽj.tʃi
i·co·no·grá·fi·co,adjetivo,i.ko.no.gɾˈa.fi.kʊ
i·co·no·lo·gi·a,"nome feminino",i.ko.no.lo.ʒˈi.jə
i·co·no·ló·gi·co,adjetivo,i.ko.no.lˈɔ.ʒi.kʊ
i·co·sa·e·dro,"nome masculino",i.ko.za.ˈɛ.dɾʊ
"ic·te·rí·ci· a","nome feminino",i.ki.te.ɾˈi.sjə
ic·ti·o·lo·gi·a,"nome feminino",i.ki.tʃi.o.lo.ʒˈi.jə
ic·ti·o·ló·gi·co,adjetivo,i.ki.tʃi.o.lˈɔ.ʒi.kʊ
ic·tus,"nome masculino",ˈi.kə.tʊs
id,"nome masculino",ˈid
i·da,"nome feminino",ˈi.də
i·da·de,"nome feminino",i.dˈa.dʒi
"i·dá·li· o",adjetivo,i.dˈa.ljʊ
i·da·nhen·se,adjetivo,i.da.ɲˈẽj.si
i·da·nhen·se,"nome masculino","i.da.ɲˈẽj.si ou i.da.ɲˈẽj.si"
i·de,"nome masculino",ˈi.dʒi
i·de·a·ção,"nome feminino",i.dʒi.a.sˈə̃w
i·de·al,adjetivo,i.dʒi.ˈaw
i·de·al,"nome masculino",i.dʒi.ˈaw
i·de·a·li·da·de,"nome feminino",i.dʒi.a.li.dˈa.dʒi
i·de·a·lis·mo,"nome masculino",i.dʒi.a.lˈiz.mʊ
i·de·a·lis·ta,"nome masculino",i.dʒi.a.lˈis.tə
i·de·a·lis·ta,adjetivo,i.dʒi.a.lˈis.tə
i·de·a·lis·ta,"nome feminino",i.dʒi.a.lˈis.tə
i·de·a·li·za·ção,"nome feminino",i.dʒi.a.li.za.sˈə̃w
i·de·a·li·za·dor,adjetivo,i.dʒi.a.li.za.dˈoɾ
i·de·a·li·za·dor,"nome masculino",i.dʒi.a.li.za.dˈoɾ
i·de·a·li·zar,verbo,i.dʒi.a.li.zˈa
i·de·al·men·te,advérbio,i.dʒi.aw.mˈẽj.tʃi
i·de·ar,verbo,i.dʒi.ˈa
"i·de·á·ri· o","nome masculino",i.dʒi.ˈa.ɾjʊ
i·dei·a,"nome feminino","i.dˈej.jə ou i.dˈɛj.jə"
i·dem,pronome,ˈi.dem
i·den·ti·ca·men·te,advérbio,i.dẽ.tʃi.ka.mˈẽj.tʃi
i·dên·ti·co,adjetivo,i.dˈẽj.tʃi.kʊ
i·den·ti·da·de,"nome feminino",i.dẽ.tʃi.dˈa.dʒi
i·den·ti·fi·ca·bi·li·da·de,"nome feminino",i.dẽ.tʃi.fi.ka.bi.li.dˈa.dʒi
i·den·ti·fi·ca·ção,"nome feminino",i.dẽ.tʃi.fi.ka.sˈə̃w
i·den·ti·fi·ca·dor,adjetivo,i.dẽ.tʃi.fi.ka.dˈoɾ
i·den·ti·fi·ca·dor,"nome masculino",i.dẽ.tʃi.fi.ka.dˈoɾ
i·den·ti·fi·ca·do·ra,"nome feminino",i.dẽ.tʃi.fi.ka.dˈo.ɾə
i·den·ti·fi·car,verbo,i.dẽ.tʃi.fi.kˈa
i·den·ti·fi·ca·ti·vo,adjetivo,i.dẽ.tʃi.fi.ka.tʃˈi.vʊ
i·den·ti·fi·cá·vel,adjetivo,i.dẽ.tʃi.fi.kˈa.vew
"i·den·ti·tá·ri· o",adjetivo,i.dẽ.tʃi.tˈa.ɾjʊ
i·de·o·gra·fi·ca·men·te,advérbio,i.de.o.gɾa.fi.ka.mˈẽj.tʃi
i·de·o·grá·fi·co,adjetivo,i.de.o.gɾˈa.fi.kʊ
i·de·o·gra·ma,"nome masculino",i.de.o.gɾˈə.mə
i·de·o·lo·gi·a,"nome feminino",i.de.o.lo.ʒˈi.jə
i·de·o·lo·gi·ca·men·te,advérbio,i.de.o.lɔ.ʒi.ka.mˈẽj.tʃi
i·de·o·ló·gi·co,adjetivo,i.de.o.lˈɔ.ʒi.kʊ
i·de·o·lo·gi·za·ção,"nome feminino",i.de.o.lo.ʒi.za.sˈə̃w
i·de·o·lo·gi·za·do,adjetivo,i.de.o.lo.ʒi.zˈa.dʊ
