já,conjunção,ʒˈa
já,advérbio,ʒˈa
ja·bi·ru,"nome masculino",ʒa.bi.ɾˈu
ja·bu·ti,"nome masculino",ʒa.bu.tʃˈi
ja·ca,"nome feminino",ʒˈa.kə
ja·ca,"nome masculino",ʒˈa.kə
ja·ca·ran·dá,"nome masculino",ʒa.ka.ɾə̃.dˈa
ja·ca·ré,"nome masculino",ʒa.ka.ɾˈɛ
ja·cen·te,"nome masculino",ʒa.sˈẽj.tʃi
ja·cen·te,adjetivo,ʒa.sˈẽj.tʃi
ja·cin·to,"nome masculino",ʒa.sˈĩ.tʊ
"jack· pot","nome masculino",
ja·co·bei·a,"nome feminino",ʒa.ko.bˈej.jə
ja·co·beu,"nome masculino",ʒa.ko.bˈew
ja·co·bi·na·men·te,advérbio,ʒa.ko.bi.na.mˈẽj.tʃi
ja·co·bi·nis·mo,"nome masculino",ʒa.ko.bi.nˈiz.mʊ
ja·co·bi·no,adjetivo,ʒa.ko.bˈi.nʊ
ja·co·bi·no,"nome masculino",ʒa.ko.bˈi.nʊ
"jac·tân·ci· a","nome feminino",ʒa.kə.tˈə̃.sjə
jac·tar,verbo,ʒa.kə.tˈa
jac·to,"nome masculino",ʒˈa.kə.tʊ
"ja·cu·la·tó·ri· a","nome feminino",ʒa.ku.la.tˈɔ.ɾjə
"ja·cu·la·tó·ri· o",adjetivo,ʒa.ku.la.tˈɔ.ɾjʊ
ja·cu·tin·ga,"nome feminino",ʒa.ku.tʃˈĩ.gə
"ja· cuz· zi","nome masculino",
ja·de,"nome masculino",ʒˈa.dʒi
ja·ez,"nome masculino",ʒa.ˈes
ja·ga,adjetivo,ʒˈa.gə
ja·ga,"nome masculino","ʒˈa.gə ou ʒˈa.gə"
ja·gra,"nome feminino",ʒˈa.gɾə
ja·guar,"nome masculino",ʒa.gwˈaɾ
ja·gun·ço,"nome masculino",ʒa.gˈũ.sʊ
jai·nis·mo,"nome masculino",ʒaj.nˈiz.mʊ
jai·nis·ta,"nome feminino",ʒaj.nˈis.tə
jai·nis·ta,"nome masculino",ʒaj.nˈis.tə
