má,"nome feminino",mˈa
má-cri·a·ção,"nome feminino",mˌa.kɾja.sˈə̃w
má-fé,"nome feminino",mˌa.fˈɛ
má-lín·gua,adjetivo,mˌa.lˈĩ.gwə
má-lín·gua,"nome masculino","mˌa.lˈĩ.gwə ou mˌa.lˈĩ.gwə"
ma·bo·que,"nome masculino",ma.bˈɔ.ki
ma·bu·ba,"nome feminino",ma.bˈu.bə
ma·bun·da,"nome feminino",ma.bˈũ.də
ma·ca,"nome feminino",mˈa.kə
ma·çã,"nome feminino",ma.sˈə̃
ma·ça,"nome feminino",mˈa.sə
"ma·çã de A·dão","nome feminino",ma.sˌə̃.dʒi.a.dˈə̃w
ma·ca·beu,"nome masculino",ma.ka.bˈew
ma·ca·beu,adjetivo,ma.ka.bˈew
ma·ca·bra·men·te,advérbio,ma.ka.bɾa.mˈẽj.tʃi
ma·ca·bro,adjetivo,ma.kˈa.bɾʊ
ma·ca·ca,"nome feminino",ma.kˈa.kə
ma·ca·ca·da,"nome feminino",ma.ka.kˈa.də
ma·ca·cão,"nome masculino",ma.ka.kˈə̃w
ma·ca·co,"nome masculino",ma.kˈa.kʊ
ma·ca·co,adjetivo,ma.kˈa.kʊ
ma·ça·da,"nome feminino",ma.sˈa.də
ma·ca·da·me,"nome masculino",ma.ka.dˈə.mi
ma·ça·do,adjetivo,ma.sˈa.dʊ
ma·ça·dor,adjetivo,ma.sa.dˈoɾ
ma·ça·dor,"nome masculino",ma.sa.dˈoɾ
ma·ça·do·ra,"nome feminino",ma.sa.dˈo.ɾə
ma·ça·do·ri·a,"nome feminino",ma.sa.do.ɾˈi.jə
ma·ca·en·se,"nome masculino","ma.ka.ˈẽj.si ou ma.ka.ˈẽj.si"
ma·ca·en·se,adjetivo,ma.ka.ˈẽj.si
ma·ça·gem,"nome feminino",ma.sˈa.ʒeɲ
ma·cai·o,"nome masculino",ma.kˈaj.jʊ
ma·ca·ís·ta,adjetivo,ma.ka.ˈis.tə
ma·ca·ís·ta,"nome masculino","ma.ka.ˈis.tə ou ma.ka.ˈis.tə"
ma·çal,"nome masculino",ma.sˈaw
