rã,"nome feminino",xˈə̃
ra·ba·ça,"nome feminino","xa.bˈa.sə ou xa.bˈa.sə"
ra·ba·çal,"nome masculino",xa.ba.sˈaw
ra·ba·çal,adjetivo,xa.ba.sˈaw
ra·ba·da,"nome feminino",xa.bˈa.də
ra·ba·do,adjetivo,xa.bˈa.dʊ
ra·ba·na·da,"nome feminino",xa.ba.nˈa.də
ra·ba·nal,"nome masculino",xa.ba.nˈaw
ra·ba·nar,verbo,xa.ba.nˈa
ra·ba·ne·te,"nome masculino",xa.ba.nˈe.tʃi
rá·ba·no,"nome masculino",xˈa.ba.nʊ
ra·bão,"nome masculino",xa.bˈə̃w
ra·bão,adjetivo,xa.bˈə̃w
ra·be·ar,verbo,xa.bi.ˈa
ra·be·ca,"nome feminino",xa.bˈɛ.kə
ra·be·ca,"nome masculino",xa.bˈɛ.kə
ra·be·ca·da,"nome feminino",xa.be.kˈa.də
ra·be·cão,"nome masculino",xa.be.kˈə̃w
ra·be·ja·dor,adjetivo,xa.be.ʒa.dˈoɾ
ra·be·ja·dor,"nome masculino",xa.be.ʒa.dˈoɾ
ra·be·jar,verbo,xa.be.ʒˈa
ra·bel,"nome masculino",xa.bˈɛw
ra·be·lai·si·a·na,"nome feminino",xa.be.laj.zjˈə.nə
ra·be·lai·si·a·no,adjetivo,xa.be.le.zjˈə.nʊ
ra·be·lai·si·a·no,"nome masculino",xa.be.le.zjˈə.nʊ
ra·be·lo,adjetivo,xa.bˈe.lʊ
ra·be·lo,"nome masculino",xa.bˈe.lʊ
ra·be·quis·ta,adjetivo,xa.be.kˈis.tə
ra·be·quis·ta,"nome masculino","xa.be.kˈis.tə ou xa.be.kˈis.tə"
ra·be·ta,"nome masculino",xa.bˈe.tə
ra·be·ta,"nome feminino",xa.bˈe.tə
ra·be·ta,adjetivo,xa.bˈe.tə
ra·bi,"nome masculino",xa.bˈi
ra·bi,adjetivo,xa.bˈi
ra·bi·a,"nome feminino",xa.bˈi.jə
ra·bi·ar,verbo,xa.bjˈa
ra·bi·ça,"nome feminino",xa.bˈi.sə
ra·bi·cho,adjetivo,xa.bˈi.ʃʊ
ra·bi·cho,"nome masculino",xa.bˈi.ʃʊ
rá·bi·da,"nome feminino",xˈa.bi.də
ra·bi·da·men·te,advérbio,xa.bi.da.mˈẽj.tʃi
rá·bi·do,adjetivo,xˈa.bi.dʊ
ra·bi·ga·to,"nome masculino",xa.bi.gˈa.tʊ
ra·bil,"nome masculino",xa.bˈiw
ra·bí·ni·co,adjetivo,xa.bˈi.ni.kʊ
ra·bi·no,"nome masculino",xa.bˈi.nʊ
ra·bi·no,adjetivo,xa.bˈi.nʊ
ra·bi·os·que,"nome masculino",xa.bi.ˈɔs.ki
ra·bis·ca,"nome feminino",xa.bˈis.kə
ra·bis·ca·do,adjetivo,xa.bis.kˈa.dʊ
ra·bis·ca·dor,"nome masculino",xa.bis.ka.dˈoɾ
ra·bis·ca·dor,adjetivo,xa.bis.ka.dˈoɾ
ra·bis·car,verbo,xa.bis.kˈa
ra·bis·co,"nome masculino",xa.bˈis.kʊ
ra·bi·ta,"nome feminino",xa.bˈi.tə
ra·bo,"nome masculino",xˈa.bʊ
ra·bo-de-ca·va·lo,"nome masculino",xˌa.bʊ.dʒi.ka.vˈa.lʊ
ra·bu·gen·ta,"nome feminino",xa.bu.ʒˈẽj.tə
ra·bu·gen·to,adjetivo,xa.bu.ʒˈẽj.tʊ
ra·bu·gen·to,"nome masculino",xa.bu.ʒˈẽj.tʊ
ra·bu·gi·ce,"nome feminino",xa.bu.ʒˈi.si
rá·bu·la,"nome feminino","xˈa.bu.lə ou xˈa.bu.lə"
ra·bu·lis·ta,adjetivo,xa.bu.lˈis.tə
ra·bu·lis·ta,"nome masculino","xa.bu.lˈis.tə ou xa.bu.lˈis.tə"
ra·ça,"nome feminino","xˈa.sə ou xˈa.sə"
ra·ção,"nome feminino",xa.sˈə̃w
ra·cha,"nome feminino",xˈa.ʃə
ra·cha·de·la,"nome feminino",xa.ʃa.dˈɛ.lə
ra·cha·do,adjetivo,xa.ʃˈa.dʊ
ra·cha·do,"nome masculino",xa.ʃˈa.dʊ
ra·cha·du·ra,"nome feminino",xa.ʃa.dˈu.ɾə
ra·chão,"nome masculino",xa.ʃˈə̃w
ra·char,verbo,xa.ʃˈa
ra·ci·al,adjetivo,xa.sjˈaw
ra·ci·al·men·te,advérbio,xa.sjaw.mˈẽj.tʃi
rá·ci·co,adjetivo,xˈa.si.kʊ
"rá·ci· o","nome masculino",xˈa.sjʊ
ra·ci·o·ci·na·dor,adjetivo,xa.si.o.si.na.dˈoɾ
ra·ci·o·ci·na·dor,"nome masculino",xa.si.o.si.na.dˈoɾ
ra·ci·o·ci·nar,verbo,xa.si.o.si.nˈa
"ra·ci·o·cí·ni· o","nome masculino",xa.si.o.sˈi.njʊ
ra·ci·o·nal,"nome masculino",xa.si.o.nˈaw
ra·ci·o·nal,adjetivo,xa.si.o.nˈaw
ra·ci·o·na·li·da·de,"nome feminino",xa.si.o.na.li.dˈa.dʒi
ra·ci·o·na·lis·mo,"nome masculino",xa.si.o.na.lˈiz.mʊ
ra·ci·o·na·lis·ta,"nome masculino",xa.si.o.na.lˈis.tə
ra·ci·o·na·lis·ta,adjetivo,xa.si.o.na.lˈis.tə
ra·ci·o·na·lis·ta,"nome feminino",xa.si.o.na.lˈis.tə
ra·ci·o·na·li·za·ção,"nome feminino",xa.si.o.na.li.za.sˈə̃w
ra·ci·o·na·li·za·do,adjetivo,xa.si.o.na.li.zˈa.dʊ
ra·ci·o·na·li·zar,verbo,xa.si.o.na.li.zˈa
ra·ci·o·nal·men·te,advérbio,xa.si.o.naw.mˈẽj.tʃi
ra·ci·o·na·men·to,"nome masculino",xa.si.o.na.mˈẽj.tʊ
ra·ci·o·nar,verbo,xa.si.o.nˈa
ra·cis·mo,"nome masculino",xa.sˈiz.mʊ
ra·cis·ta,"nome masculino",xa.sˈis.tə
ra·cis·ta,adjetivo,xa.sˈis.tə
ra·cis·ta,"nome feminino",xa.sˈis.tə
rad,"nome masculino",
ra·da,"nome feminino",xˈa.də
ra·dão,"nome masculino",xa.dˈə̃w
ra·dar,"nome masculino",xa.dˈaɾ
ra·di·a·ção,"nome feminino",xa.dʒja.sˈə̃w
ra·di·a·do,"nome masculino",xa.dʒjˈa.dʊ
ra·di·a·do,adjetivo,xa.dʒjˈa.dʊ
ra·di·a·dor,"nome masculino",xa.dʒja.dˈoɾ
ra·di·a·dor,adjetivo,xa.dʒja.dˈoɾ
ra·di·al,adjetivo,xa.dʒjˈaw
ra·di·al,"nome feminino",xa.dʒjˈaw
