sã,"nome feminino",sˈə̃
sa·a·ri·a·no,adjetivo,sa.a.ɾjˈə.nʊ
sa·a·ri·a·no,"nome masculino",sa.a.ɾjˈə.nʊ
sa·ba,"nome feminino",sˈa.bə
sá·ba·do,"nome masculino",sˈa.ba.dʊ
sa·bão,"nome masculino",sa.bˈə̃w
"sa· bat","nome masculino",sa.bˈat
sa·ba·te·no,adjetivo,sa.ba.tˈe.nʊ
sa·bá·ti·co,adjetivo,sa.bˈa.tʃi.kʊ
sa·ba·ti·na,"nome feminino",sa.ba.tʃˈi.nə
sa·ba·ti·nar,verbo,sa.ba.tʃi.nˈa
sa·ba·ti·no,adjetivo,sa.ba.tʃˈi.nʊ
sa·ba·ti·no,"nome masculino",sa.ba.tʃˈi.nʊ
sa·be,adjetivo,sˈa.bi
sa·be,advérbio,sˈa.bi
sa·be,"nome masculino",sˈa.bi
sa·be·dor,adjetivo,sa.be.dˈoɾ
sa·be·dor,"nome masculino",sa.be.dˈoɾ
sa·be·do·ra,"nome feminino",sa.be.dˈo.ɾə
sa·be·do·ra·men·te,advérbio,sa.be.do.ɾa.mˈẽj.tʃi
sa·be·do·ri·a,"nome feminino",sa.be.do.ɾˈi.jə
sa·ben·ça,"nome feminino",sa.bˈẽj.sə
sa·ber,verbo,sa.bˈe
sa·ber,"nome masculino",sa.bˈe
sa·ber,verbo,sa.bˈe
sa·ber-fa·zer,"nome masculino",sa.bˌer.fa.zˈeɾ
sa·bi·á,"nome masculino",sa.bi.ˈa
"sá·bi· a","nome feminino",sˈa.bjə
sa·bi·a·men·te,advérbio,sa.bja.mˈẽj.tʃi
sa·bi·chão,adjetivo,sa.bi.ʃˈə̃w
sa·bi·chão,"nome masculino",sa.bi.ʃˈə̃w
sa·bi·cho·na,"nome feminino",sa.bi.ʃˈo.nə
sa·bi·da,"nome feminino",sa.bˈi.də
sa·bi·da·men·te,advérbio,sa.bi.da.mˈẽj.tʃi
sa·bi·das,"nome feminino",sa.bˈi.dəs
sa·bi·do,adjetivo,sa.bˈi.dʊ
sa·bi·do,"nome masculino",sa.bˈi.dʊ
sa·bi·na,"nome feminino",sa.bˈi.nə
sa·bi·no,"nome masculino",sa.bˈi.nʊ
sa·bi·no,adjetivo,sa.bˈi.nʊ
"sá·bi· o","nome masculino",sˈa.bjʊ
"sá·bi· o",adjetivo,sˈa.bjʊ
sa·ble,"nome masculino",sˈa.bli
sa·bo·a·ri·a,"nome feminino",sa.bo.a.ɾˈi.jə
sa·bo·ga,"nome masculino",sa.bˈɔ.gə
sa·boi·a,"nome feminino",sa.bˈɔj.jə
sa·bo·ne·te,"nome masculino",sa.bo.nˈe.tʃi
sa·bo·ne·tei·ra,"nome feminino",sa.bo.ne.tˈej.ɾə
sa·bor,"nome masculino",sa.bˈoɾ
sa·bo·re·ar,verbo,sa.bo.ɾi.ˈa
sa·bo·ri·do,adjetivo,sa.bo.ɾˈi.dʊ
sa·bo·ro·sa·men·te,advérbio,sa.bo.ɾo.za.mˈẽj.tʃi
sa·bo·ro·so,adjetivo,sa.bo.ɾˈo.zʊ
sa·bo·ta·dor,adjetivo,sa.bo.ta.dˈoɾ
sa·bo·ta·dor,"nome masculino",sa.bo.ta.dˈoɾ
sa·bo·ta·gem,"nome feminino",sa.bo.tˈa.ʒeɲ
sa·bo·tar,verbo,sa.bo.tˈa
sa·bra,"nome feminino",sˈa.bɾə
sa·bre,"nome masculino",sˈa.bɾi
sa·bu·gal,"nome masculino",sa.bu.gˈaw
sa·bu·gal,adjetivo,sa.bu.gˈaw
sa·bu·go,"nome masculino",sa.bˈu.gʊ
sa·bu·guei·ro,"nome masculino",sa.bu.gˈej.ɾʊ
sa·bu·jar,verbo,sa.bu.ʒˈa
sa·bu·ji·ce,"nome feminino",sa.bu.ʒˈi.si
sa·bu·jo,"nome masculino",sa.bˈu.ʒʊ
sa·bu·ra,"nome feminino",sa.bˈu.ɾə
