tá,interjeição,tˈa
ta·ba,"nome feminino",tˈa.bə
ta·ba·ca·ri·a,"nome feminino",ta.ba.ka.ɾˈi.jə
ta·ba·co,adjetivo,ta.bˈa.kʊ
ta·ba·co,"nome masculino",ta.bˈa.kʊ
ta·ba·gis·mo,"nome masculino",ta.ba.ʒˈiz.mʊ
ta·ba·gis·ta,"nome feminino",ta.ba.ʒˈis.tə
ta·ba·gis·ta,"nome masculino",ta.ba.ʒˈis.tə
ta·ba·gis·ta,adjetivo,ta.ba.ʒˈis.tə
ta·ba·gís·ti·co,adjetivo,ta.ba.ʒˈis.tʃi.kʊ
ta·ban·ca,"nome feminino",ta.bˈə̃.kə
ta·ba·quei·ra,"nome feminino",ta.ba.kˈej.ɾə
ta·ba·quei·ro,"nome masculino",ta.ba.kˈej.ɾʊ
ta·ba·quei·ro,adjetivo,ta.ba.kˈej.ɾʊ
ta·ba·tin·ga,"nome feminino",ta.ba.tʃˈĩ.gə
ta·be·fe,"nome masculino",ta.bˈɛ.fi
ta·be·la,"nome feminino",ta.bˈɛ.lə
ta·be·la·do,adjetivo,ta.be.lˈa.dʊ
ta·be·lar,verbo,ta.be.lˈa
ta·be·lar,adjetivo,ta.be.lˈaɾ
ta·be·li·ão,adjetivo,ta.be.li.ˈə̃w
ta·be·li·ão,"nome masculino",ta.be.li.ˈə̃w
ta·be·li·nha,"nome feminino",ta.be.lˈi.ɲə
ta·ber·na,"nome feminino",ta.bˈɛr.nə
ta·ber·ná·cu·lo,"nome masculino",ta.ber.nˈa.ku.lʊ
ta·ber·nei·ra,"nome feminino",ta.ber.nˈej.ɾə
ta·ber·nei·ro,"nome masculino",ta.ber.nˈej.ɾʊ
ta·ber·nei·ro,adjetivo,ta.ber.nˈej.ɾʊ
ta·bi·car,verbo,ta.bi.kˈa
ta·bi·que,"nome masculino",ta.bˈi.ki
ta·bla,"nome feminino",tˈa.blə
ta·bla·do,"nome masculino",ta.blˈa.dʊ
ta·ble·te,"nome feminino",ta.blˈɛ.tʃi
"ta· blier","nome masculino",
ta·bloi·de,"nome masculino",ta.blˈɔj.dʒi
ta·bloi·de,adjetivo,ta.blˈɔj.dʒi
